04:25:13 [ INFO] Opening target process: csgo.exe
04:25:13 [ INFO] Starting signature scanning: 57 items
04:25:13 [ INFO] Found signature: dwClientState => 0x58ADD4
04:25:13 [ INFO] Found signature: dwClientState_GetLocalPlayer => 0x180
04:25:13 [ INFO] Found signature: dwClientState_IsHLTV => 0x4D40
04:25:13 [ INFO] Found signature: dwClientState_Map => 0x28C
04:25:13 [ INFO] Found signature: dwClientState_MapDirectory => 0x188
04:25:13 [ INFO] Found signature: dwClientState_MaxPlayer => 0x388
04:25:13 [ INFO] Found signature: dwClientState_PlayerInfo => 0x52B8
04:25:13 [ INFO] Found signature: dwClientState_State => 0x108
04:25:13 [ INFO] Found signature: dwClientState_ViewAngles => 0x4D88
04:25:13 [ INFO] Found signature: clientstate_delta_ticks => 0x174
04:25:13 [ INFO] Found signature: clientstate_last_outgoing_command => 0x4D24
04:25:13 [ INFO] Found signature: clientstate_choked_commands => 0x4D28
04:25:13 [ INFO] Found signature: clientstate_net_channel => 0x9C
04:25:13 [ INFO] Found signature: dwEntityList => 0x4D4F25C
04:25:13 [ INFO] Found signature: dwForceAttack => 0x31807A8
04:25:13 [ INFO] Found signature: dwForceAttack2 => 0x31807B4
04:25:13 [ INFO] Found signature: dwForceBackward => 0x31807FC
04:25:13 [ INFO] Found signature: dwForceForward => 0x3180808
04:25:13 [ INFO] Found signature: dwForceJump => 0x51F8EF4
04:25:13 [ INFO] Found signature: dwForceLeft => 0x3180820
04:25:13 [ INFO] Found signature: dwForceRight => 0x3180814
04:25:13 [ INFO] Found signature: dwGameDir => 0x629678
04:25:13 [ INFO] Found signature: dwGameRulesProxy => 0x526C1EC
04:25:13 [ INFO] Found signature: dwGetAllClasses => 0xD6103C
04:25:13 [ INFO] Found signature: dwGlobalVars => 0x58AAD8
04:25:13 [ INFO] Found signature: dwGlowObjectManager => 0x5297080
04:25:13 [ INFO] Found signature: dwInput => 0x51A0808
04:25:13 [ INFO] Found signature: dwInterfaceLinkList => 0x904AF4
04:25:13 [ INFO] Found signature: dwLocalPlayer => 0xD3ABEC
04:25:13 [ INFO] Found signature: dwMouseEnable => 0xD40790
04:25:13 [ INFO] Found signature: dwMouseEnablePtr => 0xD40760
04:25:13 [ INFO] Found signature: dwPlayerResource => 0x317EB40
04:25:13 [ INFO] Found signature: dwRadarBase => 0x5183FCC
04:25:13 [ INFO] Found signature: dwSensitivity => 0xD4062C
04:25:13 [ INFO] Found signature: dwSensitivityPtr => 0xD40600
04:25:13 [ INFO] Found signature: dwSetClanTag => 0x89FB0
04:25:13 [ INFO] Found signature: dwViewMatrix => 0x4D40BA4
04:25:13 [ INFO] Found signature: dwWeaponTable => 0x51A12C8
04:25:13 [ INFO] Found signature: dwWeaponTableIndex => 0x325C
04:25:13 [ INFO] Found signature: dwYawPtr => 0xD403F0
04:25:13 [ INFO] Found signature: dwZoomSensitivityRatioPtr => 0xD45638
04:25:13 [ INFO] Found signature: dwbSendPackets => 0xD415A
04:25:13 [ INFO] Found signature: dwppDirect3DDevice9 => 0xA7030
04:25:13 [ INFO] Found signature: m_pStudioHdr => 0x294C
04:25:13 [ INFO] Found signature: m_yawClassPtr => 0xD403F0
04:25:13 [ INFO] Found signature: m_pitchClassPtr => 0x5184268
04:25:13 [ INFO] Found signature: interface_engine_cvar => 0x3E9EC
04:25:13 [ INFO] Found signature: convar_name_hash_table => 0x2F0F8
04:25:13 [ INFO] Found signature: m_bDormant => 0xED
04:25:13 [ INFO] Found signature: model_ambient_min => 0x58DE4C
04:25:13 [ INFO] Found signature: set_abs_angles => 0x1D52D0
04:25:13 [ INFO] Found signature: set_abs_origin => 0x1D5110
04:25:13 [ INFO] Found signature: is_c4_owner => 0x3ADAD0
04:25:13 [ INFO] Found signature: force_update_spectator_glow => 0x3A1032
04:25:13 [ INFO] Found signature: anim_overlays => 0x2980
04:25:13 [ INFO] Found signature: m_flSpawnTime => 0xA370
04:25:13 [ INFO] Found signature: find_hud_element => 0x1F512460
04:25:13 [ INFO] Finished signature scanning: 57/57 items successful
04:25:13 [ INFO] Starting netvar scanning: 85 items
04:25:13 [ INFO] Found netvar: m_ArmorValue => 0xB378
04:25:13 [ INFO] Found netvar: m_Collision => 0x320
04:25:13 [ INFO] Found netvar: m_CollisionGroup => 0x474
04:25:13 [ INFO] Found netvar: m_Local => 0x2FBC
04:25:13 [ INFO] Found netvar: m_MoveType => 0x25B
04:25:13 [ INFO] Found netvar: m_OriginalOwnerXuidHigh => 0x31C4
04:25:13 [ INFO] Found netvar: m_OriginalOwnerXuidLow => 0x31C0
04:25:13 [ INFO] Found netvar: m_aimPunchAngle => 0x302C
04:25:13 [ INFO] Found netvar: m_aimPunchAngleVel => 0x3038
04:25:13 [ INFO] Found netvar: m_bGunGameImmunity => 0x3944
04:25:13 [ INFO] Found netvar: m_bHasDefuser => 0xB388
04:25:13 [ INFO] Found netvar: m_bHasHelmet => 0xB36C
04:25:13 [ INFO] Found netvar: m_bInReload => 0x3238
04:25:13 [ INFO] Found netvar: m_bIsDefusing => 0x3930
04:25:13 [ INFO] Found netvar: m_bIsScoped => 0x3928
04:25:13 [ INFO] Found netvar: m_bSpotted => 0x93D
04:25:13 [ INFO] Found netvar: m_bSpottedByMask => 0x980
04:25:13 [ INFO] Found netvar: m_dwBoneMatrix => 0x268C
04:25:13 [ INFO] Found netvar: m_fAccuracyPenalty => 0x3330
04:25:13 [ INFO] Found netvar: m_fFlags => 0x104
04:25:13 [ INFO] Found netvar: m_flFallbackWear => 0x31D0
04:25:13 [ INFO] Found netvar: m_flFlashDuration => 0xA420
04:25:13 [ INFO] Found netvar: m_flFlashMaxAlpha => 0xA41C
04:25:13 [ INFO] Found netvar: m_flNextPrimaryAttack => 0x3238
04:25:13 [ INFO] Found netvar: m_hActiveWeapon => 0x2EF8
04:25:13 [ INFO] Found netvar: m_hMyWeapons => 0x2EF8
04:25:13 [ INFO] Found netvar: m_hObserverTarget => 0x338C
04:25:13 [ INFO] Found netvar: m_hOwner => 0x29CC
04:25:13 [ INFO] Found netvar: m_hOwnerEntity => 0x14C
04:25:13 [ INFO] Found netvar: m_iAccountID => 0x2FC8
04:25:13 [ INFO] Found netvar: m_iClip1 => 0x3264
04:25:13 [ INFO] Found netvar: m_iCompetitiveRanking => 0x1A84
04:25:13 [ INFO] Found netvar: m_iCompetitiveWins => 0x1B88
04:25:13 [ INFO] Found netvar: m_iCrosshairId => 0xB388
04:25:13 [ INFO] Found netvar: m_iEntityQuality => 0x2FAC
04:25:13 [ INFO] Found netvar: m_iFOVStart => 0x31E8
04:25:13 [ INFO] Found netvar: m_iFOV => 0x31E4
04:25:13 [ INFO] Found netvar: m_iGlowIndex => 0xA420
04:25:13 [ INFO] Found netvar: m_iHealth => 0x100
04:25:13 [ INFO] Found netvar: m_iItemDefinitionIndex => 0x2FAA
04:25:13 [ INFO] Found netvar: m_iItemIDHigh => 0x2FC0
04:25:13 [ INFO] Found netvar: m_iObserverMode => 0x3378
04:25:13 [ INFO] Found netvar: m_iShotsFired => 0xA390
04:25:13 [ INFO] Found netvar: m_iState => 0x3258
04:25:13 [ INFO] Found netvar: m_iTeamNum => 0xF4
04:25:13 [ INFO] Found netvar: m_lifeState => 0x25F
04:25:13 [ INFO] Found netvar: m_nFallbackPaintKit => 0x31C8
04:25:13 [ INFO] Found netvar: m_nFallbackSeed => 0x31CC
04:25:13 [ INFO] Found netvar: m_nFallbackStatTrak => 0x31D4
04:25:13 [ INFO] Found netvar: m_nForceBone => 0x268C
04:25:13 [ INFO] Found netvar: m_nTickBase => 0x3430
04:25:13 [ INFO] Found netvar: m_rgflCoordinateFrame => 0x474
04:25:13 [ INFO] Found netvar: m_szCustomName => 0x303C
04:25:13 [ INFO] Found netvar: m_szLastPlaceName => 0x35B4
04:25:13 [ INFO] Found netvar: m_vecOrigin => 0x138
04:25:13 [ INFO] Found netvar: m_vecVelocity => 0x114
04:25:13 [ INFO] Found netvar: m_vecViewOffset => 0x108
04:25:13 [ INFO] Found netvar: m_viewPunchAngle => 0x3020
04:25:13 [ INFO] Found netvar: m_thirdPersonViewAngles => 0x31D4
04:25:13 [ INFO] Found netvar: m_clrRender => 0x70
04:25:13 [ INFO] Found netvar: m_flC4Blow => 0x2990
04:25:13 [ INFO] Found netvar: m_flTimerLength => 0x2994
04:25:13 [ INFO] Found netvar: m_flDefuseLength => 0x29A8
04:25:13 [ INFO] Found netvar: m_flDefuseCountDown => 0x29AC
04:25:13 [ INFO] Found netvar: cs_gamerules_data => 0x0
04:25:13 [ INFO] Found netvar: m_SurvivalRules => 0xCF8
04:25:13 [ INFO] Found netvar: m_SurvivalGameRuleDecisionTypes => 0x1320
04:25:13 [ INFO] Found netvar: m_bIsValveDS => 0x75
04:25:13 [ INFO] Found netvar: m_bFreezePeriod => 0x20
04:25:13 [ INFO] Found netvar: m_bBombPlanted => 0x99D
04:25:13 [ INFO] Found netvar: m_bIsQueuedMatchmaking => 0x74
04:25:13 [ INFO] Found netvar: m_flSimulationTime => 0x268
04:25:13 [ INFO] Found netvar: m_flLowerBodyYawTarget => 0x3A90
04:25:14 [ INFO] Found netvar: m_angEyeAnglesX => 0xB37C
04:25:14 [ INFO] Found netvar: m_angEyeAnglesY => 0xB380
04:25:14 [ INFO] Found netvar: m_flNextAttack => 0x2D70
04:25:14 [ INFO] Found netvar: m_iMostRecentModelBoneCounter => 0x268C
04:25:14 [ INFO] Found netvar: m_flLastBoneSetupTime => 0x28BC
04:25:14 [ INFO] Found netvar: m_bStartedArming => 0x33F0
04:25:14 [ INFO] Found netvar: m_bUseCustomBloomScale => 0x9DA
04:25:14 [ INFO] Found netvar: m_bUseCustomAutoExposureMin => 0x9D8
04:25:14 [ INFO] Found netvar: m_bUseCustomAutoExposureMax => 0x9D9
04:25:14 [ INFO] Found netvar: m_flCustomBloomScale => 0x9E4
04:25:14 [ INFO] Found netvar: m_flCustomAutoExposureMin => 0x9DC
04:25:14 [ INFO] Found netvar: m_flCustomAutoExposureMax => 0x9E0
04:25:14 [ INFO] Finished netvar scanning: 85/85 items successful
